circuit_id,name,location,country,latitude,longitude,altitude
adelaide,"Adelaide Street Circuit",Adelaide,Australia,-34.9272000,138.6170000,58
ain-diab,"Ain Diab",Casablanca,Morocco,33.5786000,-7.6875000,19
aintree,Aintree,Liverpool,UK,53.4769000,-2.9405600,20
albert_park,"Albert Park Grand Prix Circuit",Melbourne,Australia,-37.8497000,144.9680000,10
americas,"Circuit of the Americas",Austin,USA,30.1328000,-97.6411000,161
anderstorp,"Scandinavian Raceway",Anderstorp,Sweden,57.2653000,13.6042000,153
avus,AVUS,Berlin,Germany,52.4806000,13.2514000,53
bahrain,"Bahrain International Circuit",Sakhir,Bahrain,26.0325000,50.5106000,7
BAK,"Baku City Circuit",Baku,Azerbaijan,40.3725000,49.8533000,-7
boavista,"Circuito da Boavista",Oporto,Portugal,41.1705000,-8.6732500,28
brands_hatch,"Brands Hatch",Kent,UK,51.3569000,0.2630560,145
bremgarten,"Circuit Bremgarten",Bern,Switzerland,46.9589000,7.4019400,551
buddh,"Buddh International Circuit","Uttar Pradesh",India,28.3487000,77.5331000,194
catalunya,"Circuit de Barcelona-Catalunya",Montmeló,Spain,41.5700000,2.2611100,109
charade,"Charade Circuit",Clermont-Ferrand,France,45.7472000,3.0388900,790
dallas,"Fair Park",Dallas,USA,32.7774000,-96.7587000,139
detroit,"Detroit Street Circuit",Detroit,USA,42.3298000,-83.0401000,177
dijon,Dijon-Prenois,Dijon,France,47.3625000,4.8991300,484
donington,"Donington Park","Castle Donington",UK,52.8306000,-1.3752800,88
essarts,Rouen-Les-Essarts,Rouen,France,49.3306000,1.0045800,81
estoril,"Autódromo do Estoril",Estoril,Portugal,38.7506000,-9.3941700,130
fuji,"Fuji Speedway",Oyama,Japan,35.3717000,138.9270000,583
galvez,"Autódromo Juan y Oscar Gálvez","Buenos Aires",Argentina,-34.6943000,-58.4593000,8
george,"Prince George Circuit","Eastern Cape Province","South Africa",-33.0486000,27.8736000,15
hanoi,"Hanoi Street Circuit",Hanoi,Vietnam,21.0166000,105.7660000,9
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278000,8.5658300,103
hungaroring,Hungaroring,Budapest,Hungary,47.5789000,19.2486000,264
imola,"Autodromo Enzo e Dino Ferrari",Imola,Italy,44.3439000,11.7167000,37
indianapolis,"Indianapolis Motor Speedway",Indianapolis,USA,39.7950000,-86.2347000,223
interlagos,"Autódromo José Carlos Pace","São Paulo",Brazil,-23.7036000,-46.6997000,785
istanbul,"Istanbul Park",Istanbul,Turkey,40.9517000,29.4050000,130
jacarepagua,"Autódromo Internacional Nelson Piquet","Rio de Janeiro",Brazil,-22.9756000,-43.3950000,1126
jarama,Jarama,Madrid,Spain,40.6171000,-3.5855800,609
jeddah,"Jeddah Corniche Circuit",Jeddah,"Saudi Arabia",21.6319000,39.1044000,15
jerez,"Circuito de Jerez","Jerez de la Frontera",Spain,36.7083000,-6.0341700,37
kyalami,Kyalami,Midrand,"South Africa",-25.9894000,28.0767000,1460
las_vegas,"Las Vegas Street Circuit",Nevada,USA,36.1162000,-115.1740000,639
lemans,"Le Mans","Le Mans",France,47.9500000,0.2242310,67
long_beach,"Long Beach",California,USA,33.7651000,-118.1890000,12
losail,"Losail International Circuit","Al Daayen",Qatar,25.4900000,51.4542000,14
magny_cours,"Circuit de Nevers Magny-Cours","Magny Cours",France,46.8642000,3.1636100,228
marina_bay,"Marina Bay Street Circuit","Marina Bay",Singapore,1.2914000,103.8640000,18
miami,"Miami International Autodrome",Miami,"United States",25.9581000,-80.2389000,2
monaco,"Circuit de Monaco",Monte-Carlo,Monaco,43.7347000,7.4205600,7
